selection1_name,selection1_url,selection1_Quality_Ingredients,selection1_Potential_Allergens,selection1_Questionable_Ingrediens,selection1_Numeric_Ingredient_name,selection1_Numeric_Ingredient_selection2,selection1_Ingredients,selection1_selection4
"GO! Solutions Carnivore Grain-Free Chicken, Turkey + Duck Recipe",https://catfooddb.com/chewy/best-dry-cat-food/go-solutions-carnivore-grain-free%252Fdp%252F189530,"chicken meal
de-boned chicken
de-boned turkey
duck meal
turkey meal
salmon meal
de-boned trout
de-boned salmon
de-boned duck",cottage cheese,,Protein:,46.00%,"chicken meal, de-boned chicken, de-boned turkey, duck meal, turkey meal, salmon meal, de-boned trout, chicken fat (preserved with mixed tocopherols), natural fis...h flavor, peas, potatoes, whole dried egg, potato flour, tapioca, de-boned salmon, de-boned duck, salmon oil, pumpkin, apples, carrots, bananas, blueberries, cranberries, lentils, broccoli, cottage cheese, suncured alfalfa, sweet potatoes, blackberries, squash, papayas, pomegranate, phosphoric acid, salt, potassium chloride, DL-methionine, taurine, choline chloride, dried chicory root, dried Lactobacillus acidophilus fermentation product, dried Enterococcus faecium fermentation product, dried Aspergillus oryzae fermentation extract, dried Bacillus subtilis fermentation extract, vitamins (vitamin A supplement, vitamin D3 supplement, vitamin E supplement, niacin, L-ascorbyl-2-polyphosphate (a source of vitamin C), thiamine mononitrate, d-calcium pantothenate, riboflavin, pyridoxine hydrochloride, beta-carotene, folic acid, biotin, vitamin B12 supplement), minerals (zinc proteinate, iron proteinate, copper proteinate, zinc oxide, manganese proteinate, copper sulfate, calcium iodate, ferrous sulfate, manganous oxide, sodium selenite), yucca schidigera extract, dried rosemary","significantly more protein than average; 
fewer carbohydrates than average; 
an average amount of fat; 
significantly less fiber than average; 
significantly less moisture than an equivalent wet food; "
"GO! Solutions Carnivore Grain-Free Chicken, Turkey + Duck Recipe",https://catfooddb.com/chewy/best-dry-cat-food/go-solutions-carnivore-grain-free%252Fdp%252F189530,"chicken meal
de-boned chicken
de-boned turkey
duck meal
turkey meal
salmon meal
de-boned trout
de-boned salmon
de-boned duck",cottage cheese,,Fat:,18.00%,"chicken meal, de-boned chicken, de-boned turkey, duck meal, turkey meal, salmon meal, de-boned trout, chicken fat (preserved with mixed tocopherols), natural fis...h flavor, peas, potatoes, whole dried egg, potato flour, tapioca, de-boned salmon, de-boned duck, salmon oil, pumpkin, apples, carrots, bananas, blueberries, cranberries, lentils, broccoli, cottage cheese, suncured alfalfa, sweet potatoes, blackberries, squash, papayas, pomegranate, phosphoric acid, salt, potassium chloride, DL-methionine, taurine, choline chloride, dried chicory root, dried Lactobacillus acidophilus fermentation product, dried Enterococcus faecium fermentation product, dried Aspergillus oryzae fermentation extract, dried Bacillus subtilis fermentation extract, vitamins (vitamin A supplement, vitamin D3 supplement, vitamin E supplement, niacin, L-ascorbyl-2-polyphosphate (a source of vitamin C), thiamine mononitrate, d-calcium pantothenate, riboflavin, pyridoxine hydrochloride, beta-carotene, folic acid, biotin, vitamin B12 supplement), minerals (zinc proteinate, iron proteinate, copper proteinate, zinc oxide, manganese proteinate, copper sulfate, calcium iodate, ferrous sulfate, manganous oxide, sodium selenite), yucca schidigera extract, dried rosemary","significantly more protein than average; 
fewer carbohydrates than average; 
an average amount of fat; 
significantly less fiber than average; 
significantly less moisture than an equivalent wet food; "
"GO! Solutions Carnivore Grain-Free Chicken, Turkey + Duck Recipe",https://catfooddb.com/chewy/best-dry-cat-food/go-solutions-carnivore-grain-free%252Fdp%252F189530,"chicken meal
de-boned chicken
de-boned turkey
duck meal
turkey meal
salmon meal
de-boned trout
de-boned salmon
de-boned duck",cottage cheese,,Fiber:,1.50%,"chicken meal, de-boned chicken, de-boned turkey, duck meal, turkey meal, salmon meal, de-boned trout, chicken fat (preserved with mixed tocopherols), natural fis...h flavor, peas, potatoes, whole dried egg, potato flour, tapioca, de-boned salmon, de-boned duck, salmon oil, pumpkin, apples, carrots, bananas, blueberries, cranberries, lentils, broccoli, cottage cheese, suncured alfalfa, sweet potatoes, blackberries, squash, papayas, pomegranate, phosphoric acid, salt, potassium chloride, DL-methionine, taurine, choline chloride, dried chicory root, dried Lactobacillus acidophilus fermentation product, dried Enterococcus faecium fermentation product, dried Aspergillus oryzae fermentation extract, dried Bacillus subtilis fermentation extract, vitamins (vitamin A supplement, vitamin D3 supplement, vitamin E supplement, niacin, L-ascorbyl-2-polyphosphate (a source of vitamin C), thiamine mononitrate, d-calcium pantothenate, riboflavin, pyridoxine hydrochloride, beta-carotene, folic acid, biotin, vitamin B12 supplement), minerals (zinc proteinate, iron proteinate, copper proteinate, zinc oxide, manganese proteinate, copper sulfate, calcium iodate, ferrous sulfate, manganous oxide, sodium selenite), yucca schidigera extract, dried rosemary","significantly more protein than average; 
fewer carbohydrates than average; 
an average amount of fat; 
significantly less fiber than average; 
significantly less moisture than an equivalent wet food; "
"GO! Solutions Carnivore Grain-Free Chicken, Turkey + Duck Recipe",https://catfooddb.com/chewy/best-dry-cat-food/go-solutions-carnivore-grain-free%252Fdp%252F189530,"chicken meal
de-boned chicken
de-boned turkey
duck meal
turkey meal
salmon meal
de-boned trout
de-boned salmon
de-boned duck",cottage cheese,,Carbs:,15.50%,"chicken meal, de-boned chicken, de-boned turkey, duck meal, turkey meal, salmon meal, de-boned trout, chicken fat (preserved with mixed tocopherols), natural fis...h flavor, peas, potatoes, whole dried egg, potato flour, tapioca, de-boned salmon, de-boned duck, salmon oil, pumpkin, apples, carrots, bananas, blueberries, cranberries, lentils, broccoli, cottage cheese, suncured alfalfa, sweet potatoes, blackberries, squash, papayas, pomegranate, phosphoric acid, salt, potassium chloride, DL-methionine, taurine, choline chloride, dried chicory root, dried Lactobacillus acidophilus fermentation product, dried Enterococcus faecium fermentation product, dried Aspergillus oryzae fermentation extract, dried Bacillus subtilis fermentation extract, vitamins (vitamin A supplement, vitamin D3 supplement, vitamin E supplement, niacin, L-ascorbyl-2-polyphosphate (a source of vitamin C), thiamine mononitrate, d-calcium pantothenate, riboflavin, pyridoxine hydrochloride, beta-carotene, folic acid, biotin, vitamin B12 supplement), minerals (zinc proteinate, iron proteinate, copper proteinate, zinc oxide, manganese proteinate, copper sulfate, calcium iodate, ferrous sulfate, manganous oxide, sodium selenite), yucca schidigera extract, dried rosemary","significantly more protein than average; 
fewer carbohydrates than average; 
an average amount of fat; 
significantly less fiber than average; 
significantly less moisture than an equivalent wet food; "
"GO! Solutions Carnivore Grain-Free Chicken, Turkey + Duck Recipe",https://catfooddb.com/chewy/best-dry-cat-food/go-solutions-carnivore-grain-free%252Fdp%252F189530,"chicken meal
de-boned chicken
de-boned turkey
duck meal
turkey meal
salmon meal
de-boned trout
de-boned salmon
de-boned duck",cottage cheese,,Ash:,9.00%,"chicken meal, de-boned chicken, de-boned turkey, duck meal, turkey meal, salmon meal, de-boned trout, chicken fat (preserved with mixed tocopherols), natural fis...h flavor, peas, potatoes, whole dried egg, potato flour, tapioca, de-boned salmon, de-boned duck, salmon oil, pumpkin, apples, carrots, bananas, blueberries, cranberries, lentils, broccoli, cottage cheese, suncured alfalfa, sweet potatoes, blackberries, squash, papayas, pomegranate, phosphoric acid, salt, potassium chloride, DL-methionine, taurine, choline chloride, dried chicory root, dried Lactobacillus acidophilus fermentation product, dried Enterococcus faecium fermentation product, dried Aspergillus oryzae fermentation extract, dried Bacillus subtilis fermentation extract, vitamins (vitamin A supplement, vitamin D3 supplement, vitamin E supplement, niacin, L-ascorbyl-2-polyphosphate (a source of vitamin C), thiamine mononitrate, d-calcium pantothenate, riboflavin, pyridoxine hydrochloride, beta-carotene, folic acid, biotin, vitamin B12 supplement), minerals (zinc proteinate, iron proteinate, copper proteinate, zinc oxide, manganese proteinate, copper sulfate, calcium iodate, ferrous sulfate, manganous oxide, sodium selenite), yucca schidigera extract, dried rosemary","significantly more protein than average; 
fewer carbohydrates than average; 
an average amount of fat; 
significantly less fiber than average; 
significantly less moisture than an equivalent wet food; "
"GO! Solutions Carnivore Grain-Free Chicken, Turkey + Duck Recipe",https://catfooddb.com/chewy/best-dry-cat-food/go-solutions-carnivore-grain-free%252Fdp%252F189530,"chicken meal
de-boned chicken
de-boned turkey
duck meal
turkey meal
salmon meal
de-boned trout
de-boned salmon
de-boned duck",cottage cheese,,Moisture:,10.00%,"chicken meal, de-boned chicken, de-boned turkey, duck meal, turkey meal, salmon meal, de-boned trout, chicken fat (preserved with mixed tocopherols), natural fis...h flavor, peas, potatoes, whole dried egg, potato flour, tapioca, de-boned salmon, de-boned duck, salmon oil, pumpkin, apples, carrots, bananas, blueberries, cranberries, lentils, broccoli, cottage cheese, suncured alfalfa, sweet potatoes, blackberries, squash, papayas, pomegranate, phosphoric acid, salt, potassium chloride, DL-methionine, taurine, choline chloride, dried chicory root, dried Lactobacillus acidophilus fermentation product, dried Enterococcus faecium fermentation product, dried Aspergillus oryzae fermentation extract, dried Bacillus subtilis fermentation extract, vitamins (vitamin A supplement, vitamin D3 supplement, vitamin E supplement, niacin, L-ascorbyl-2-polyphosphate (a source of vitamin C), thiamine mononitrate, d-calcium pantothenate, riboflavin, pyridoxine hydrochloride, beta-carotene, folic acid, biotin, vitamin B12 supplement), minerals (zinc proteinate, iron proteinate, copper proteinate, zinc oxide, manganese proteinate, copper sulfate, calcium iodate, ferrous sulfate, manganous oxide, sodium selenite), yucca schidigera extract, dried rosemary","significantly more protein than average; 
fewer carbohydrates than average; 
an average amount of fat; 
significantly less fiber than average; 
significantly less moisture than an equivalent wet food; "
Catit Gold Fern - Air Dried Chicken,https://catfooddb.com/product/catit/Gold+Fern+-+Air+Dried+Chicken,"chicken
chicken gizzards
chicken liver",fish oil,None,Protein:,43.00%,"Chicken, Chicken Gizzards, Chicken Liver, Green Lipped Mussel, Fish Oil (preserved with Mixed Tocopherols), Natural Flavoring, Calcium Carbonate, Salt, Inulin, Brewers Yeast, Choline Chloride, Mixed Tocopherols, Taurine, Iron Proteinate, Zinc Oxide, Vitamin E Supplement, Niacin, Copper Sulfate, Thiamine Mononitrate, Sodium Selenite, Manganous Oxide, Vitamin A Supplement, d-Calcium Pantothenate, Riboflavin, Pyridoxine Hydrochloride, Biotin, Vitamin B12 Supplement, Folic Acid","significantly more protein than average; 
significantly fewer carbohydrates than average; 
significantly more fat than average; 
significantly less fiber than average; 
significantly less moisture than an equivalent wet food; "
Catit Gold Fern - Air Dried Chicken,https://catfooddb.com/product/catit/Gold+Fern+-+Air+Dried+Chicken,"chicken
chicken gizzards
chicken liver",fish oil,None,Fat:,24.00%,"Chicken, Chicken Gizzards, Chicken Liver, Green Lipped Mussel, Fish Oil (preserved with Mixed Tocopherols), Natural Flavoring, Calcium Carbonate, Salt, Inulin, Brewers Yeast, Choline Chloride, Mixed Tocopherols, Taurine, Iron Proteinate, Zinc Oxide, Vitamin E Supplement, Niacin, Copper Sulfate, Thiamine Mononitrate, Sodium Selenite, Manganous Oxide, Vitamin A Supplement, d-Calcium Pantothenate, Riboflavin, Pyridoxine Hydrochloride, Biotin, Vitamin B12 Supplement, Folic Acid","significantly more protein than average; 
significantly fewer carbohydrates than average; 
significantly more fat than average; 
significantly less fiber than average; 
significantly less moisture than an equivalent wet food; "
Catit Gold Fern - Air Dried Chicken,https://catfooddb.com/product/catit/Gold+Fern+-+Air+Dried+Chicken,"chicken
chicken gizzards
chicken liver",fish oil,None,Fiber:,2.00%,"Chicken, Chicken Gizzards, Chicken Liver, Green Lipped Mussel, Fish Oil (preserved with Mixed Tocopherols), Natural Flavoring, Calcium Carbonate, Salt, Inulin, Brewers Yeast, Choline Chloride, Mixed Tocopherols, Taurine, Iron Proteinate, Zinc Oxide, Vitamin E Supplement, Niacin, Copper Sulfate, Thiamine Mononitrate, Sodium Selenite, Manganous Oxide, Vitamin A Supplement, d-Calcium Pantothenate, Riboflavin, Pyridoxine Hydrochloride, Biotin, Vitamin B12 Supplement, Folic Acid","significantly more protein than average; 
significantly fewer carbohydrates than average; 
significantly more fat than average; 
significantly less fiber than average; 
significantly less moisture than an equivalent wet food; "
Catit Gold Fern - Air Dried Chicken,https://catfooddb.com/product/catit/Gold+Fern+-+Air+Dried+Chicken,"chicken
chicken gizzards
chicken liver",fish oil,None,Carbs:,6.00%,"Chicken, Chicken Gizzards, Chicken Liver, Green Lipped Mussel, Fish Oil (preserved with Mixed Tocopherols), Natural Flavoring, Calcium Carbonate, Salt, Inulin, Brewers Yeast, Choline Chloride, Mixed Tocopherols, Taurine, Iron Proteinate, Zinc Oxide, Vitamin E Supplement, Niacin, Copper Sulfate, Thiamine Mononitrate, Sodium Selenite, Manganous Oxide, Vitamin A Supplement, d-Calcium Pantothenate, Riboflavin, Pyridoxine Hydrochloride, Biotin, Vitamin B12 Supplement, Folic Acid","significantly more protein than average; 
significantly fewer carbohydrates than average; 
significantly more fat than average; 
significantly less fiber than average; 
significantly less moisture than an equivalent wet food; "
Catit Gold Fern - Air Dried Chicken,https://catfooddb.com/product/catit/Gold+Fern+-+Air+Dried+Chicken,"chicken
chicken gizzards
chicken liver",fish oil,None,Ash:,6.00%,"Chicken, Chicken Gizzards, Chicken Liver, Green Lipped Mussel, Fish Oil (preserved with Mixed Tocopherols), Natural Flavoring, Calcium Carbonate, Salt, Inulin, Brewers Yeast, Choline Chloride, Mixed Tocopherols, Taurine, Iron Proteinate, Zinc Oxide, Vitamin E Supplement, Niacin, Copper Sulfate, Thiamine Mononitrate, Sodium Selenite, Manganous Oxide, Vitamin A Supplement, d-Calcium Pantothenate, Riboflavin, Pyridoxine Hydrochloride, Biotin, Vitamin B12 Supplement, Folic Acid","significantly more protein than average; 
significantly fewer carbohydrates than average; 
significantly more fat than average; 
significantly less fiber than average; 
significantly less moisture than an equivalent wet food; "
Catit Gold Fern - Air Dried Chicken,https://catfooddb.com/product/catit/Gold+Fern+-+Air+Dried+Chicken,"chicken
chicken gizzards
chicken liver",fish oil,None,Moisture:,19.00%,"Chicken, Chicken Gizzards, Chicken Liver, Green Lipped Mussel, Fish Oil (preserved with Mixed Tocopherols), Natural Flavoring, Calcium Carbonate, Salt, Inulin, Brewers Yeast, Choline Chloride, Mixed Tocopherols, Taurine, Iron Proteinate, Zinc Oxide, Vitamin E Supplement, Niacin, Copper Sulfate, Thiamine Mononitrate, Sodium Selenite, Manganous Oxide, Vitamin A Supplement, d-Calcium Pantothenate, Riboflavin, Pyridoxine Hydrochloride, Biotin, Vitamin B12 Supplement, Folic Acid","significantly more protein than average; 
significantly fewer carbohydrates than average; 
significantly more fat than average; 
significantly less fiber than average; 
significantly less moisture than an equivalent wet food; "
Grandma Lucy's Moxie Turkey,https://catfooddb.com/chewy/best-dry-cat-food/grandma-lucys-moxie-turkey-recipe%252Fdp%252F260784,"turkey
turkey liver
turkey gizzards",,None,Protein:,50.00%,"Turkey, Turkey Liver, Turkey Gizzards, Sunflower Seeds, Squash, Pumpkin, Coconut, Beets, Apples, Blueberries, Kale, Turmeric, Calcium Carbonate, Taurine","significantly more protein than average; 
significantly fewer carbohydrates than average; 
significantly more fat than average; 
significantly less fiber than average; 
significantly less moisture than an equivalent wet food; "
Grandma Lucy's Moxie Turkey,https://catfooddb.com/chewy/best-dry-cat-food/grandma-lucys-moxie-turkey-recipe%252Fdp%252F260784,"turkey
turkey liver
turkey gizzards",,None,Fat:,30.00%,"Turkey, Turkey Liver, Turkey Gizzards, Sunflower Seeds, Squash, Pumpkin, Coconut, Beets, Apples, Blueberries, Kale, Turmeric, Calcium Carbonate, Taurine","significantly more protein than average; 
significantly fewer carbohydrates than average; 
significantly more fat than average; 
significantly less fiber than average; 
significantly less moisture than an equivalent wet food; "
Grandma Lucy's Moxie Turkey,https://catfooddb.com/chewy/best-dry-cat-food/grandma-lucys-moxie-turkey-recipe%252Fdp%252F260784,"turkey
turkey liver
turkey gizzards",,None,Fiber:,3.00%,"Turkey, Turkey Liver, Turkey Gizzards, Sunflower Seeds, Squash, Pumpkin, Coconut, Beets, Apples, Blueberries, Kale, Turmeric, Calcium Carbonate, Taurine","significantly more protein than average; 
significantly fewer carbohydrates than average; 
significantly more fat than average; 
significantly less fiber than average; 
significantly less moisture than an equivalent wet food; "
Grandma Lucy's Moxie Turkey,https://catfooddb.com/chewy/best-dry-cat-food/grandma-lucys-moxie-turkey-recipe%252Fdp%252F260784,"turkey
turkey liver
turkey gizzards",,None,Carbs:,7.00%,"Turkey, Turkey Liver, Turkey Gizzards, Sunflower Seeds, Squash, Pumpkin, Coconut, Beets, Apples, Blueberries, Kale, Turmeric, Calcium Carbonate, Taurine","significantly more protein than average; 
significantly fewer carbohydrates than average; 
significantly more fat than average; 
significantly less fiber than average; 
significantly less moisture than an equivalent wet food; "
Grandma Lucy's Moxie Turkey,https://catfooddb.com/chewy/best-dry-cat-food/grandma-lucys-moxie-turkey-recipe%252Fdp%252F260784,"turkey
turkey liver
turkey gizzards",,None,Ash:,6.00%,"Turkey, Turkey Liver, Turkey Gizzards, Sunflower Seeds, Squash, Pumpkin, Coconut, Beets, Apples, Blueberries, Kale, Turmeric, Calcium Carbonate, Taurine","significantly more protein than average; 
significantly fewer carbohydrates than average; 
significantly more fat than average; 
significantly less fiber than average; 
significantly less moisture than an equivalent wet food; "
Grandma Lucy's Moxie Turkey,https://catfooddb.com/chewy/best-dry-cat-food/grandma-lucys-moxie-turkey-recipe%252Fdp%252F260784,"turkey
turkey liver
turkey gizzards",,None,Moisture:,4.00%,"Turkey, Turkey Liver, Turkey Gizzards, Sunflower Seeds, Squash, Pumpkin, Coconut, Beets, Apples, Blueberries, Kale, Turmeric, Calcium Carbonate, Taurine","significantly more protein than average; 
significantly fewer carbohydrates than average; 
significantly more fat than average; 
significantly less fiber than average; 
significantly less moisture than an equivalent wet food; "
Only Natural Pet Powerfusion Poultry Dinner,https://catfooddb.com/product/only%20natural%20pet/Powerfusion+Poultry+Dinner,"chicken
turkey meal
chicken meal
turkey hearts",new zealand green mussel,,Protein:,47.00%,"Chicken, Turkey Meal, Chicken Meal, Garbanzo Beans, Chicken Fat (Preserved With Mixed Tocopherols), Pea Protein, Pea Fiber, Tapioca Starch, Natural Flavor, Salmon Oil (Preserved With Mixed Tocopherols), Turkey Hearts, Dried Sweet Potatoes, Dried Chicory Root, Flaxseed, Carrots, Broccoli, Vitamins [Vitamin E Supplement, Niacin Supplement, Vitamin A Supplement, Thiamine Mononitrate, d-Calcium Pantothenate, Pyridoxine Hydrochloride, Riboflavin Supplement, Biotin, Vitamin B12 Supplement, Calcium Iodate, Folic Acid, Vitamin D3 Supplement], Dried Kale, Minerals [Zinc Proteinate, Calcium Carbonate, Iron Proteinate, Copper Proteinate, Manganese Proteinate, Sodium Selenite], Dried Aspergillus oryzae Fermentation Product (Source Of Amylase, Lipase and Protease), Choline Chloride, DL-Methionine, Mixed Tocopherols And Citric Acid (Preservatives), Rosemary Extract, Taurine, Dried Goat Milk, Blueberries, Pineapple Stems, Turmeric, New Zealand Green Mussel, Dried Pumpkin, Dried Bacillus Coagulans Fermentation Product","significantly more protein than average; 
significantly fewer carbohydrates than average; 
an average amount of fat; 
significantly more fiber than average; 
significantly less moisture than an equivalent wet food; "
Only Natural Pet Powerfusion Poultry Dinner,https://catfooddb.com/product/only%20natural%20pet/Powerfusion+Poultry+Dinner,"chicken
turkey meal
chicken meal
turkey hearts",new zealand green mussel,,Fat:,19.00%,"Chicken, Turkey Meal, Chicken Meal, Garbanzo Beans, Chicken Fat (Preserved With Mixed Tocopherols), Pea Protein, Pea Fiber, Tapioca Starch, Natural Flavor, Salmon Oil (Preserved With Mixed Tocopherols), Turkey Hearts, Dried Sweet Potatoes, Dried Chicory Root, Flaxseed, Carrots, Broccoli, Vitamins [Vitamin E Supplement, Niacin Supplement, Vitamin A Supplement, Thiamine Mononitrate, d-Calcium Pantothenate, Pyridoxine Hydrochloride, Riboflavin Supplement, Biotin, Vitamin B12 Supplement, Calcium Iodate, Folic Acid, Vitamin D3 Supplement], Dried Kale, Minerals [Zinc Proteinate, Calcium Carbonate, Iron Proteinate, Copper Proteinate, Manganese Proteinate, Sodium Selenite], Dried Aspergillus oryzae Fermentation Product (Source Of Amylase, Lipase and Protease), Choline Chloride, DL-Methionine, Mixed Tocopherols And Citric Acid (Preservatives), Rosemary Extract, Taurine, Dried Goat Milk, Blueberries, Pineapple Stems, Turmeric, New Zealand Green Mussel, Dried Pumpkin, Dried Bacillus Coagulans Fermentation Product","significantly more protein than average; 
significantly fewer carbohydrates than average; 
an average amount of fat; 
significantly more fiber than average; 
significantly less moisture than an equivalent wet food; "
Only Natural Pet Powerfusion Poultry Dinner,https://catfooddb.com/product/only%20natural%20pet/Powerfusion+Poultry+Dinner,"chicken
turkey meal
chicken meal
turkey hearts",new zealand green mussel,,Fiber:,8.00%,"Chicken, Turkey Meal, Chicken Meal, Garbanzo Beans, Chicken Fat (Preserved With Mixed Tocopherols), Pea Protein, Pea Fiber, Tapioca Starch, Natural Flavor, Salmon Oil (Preserved With Mixed Tocopherols), Turkey Hearts, Dried Sweet Potatoes, Dried Chicory Root, Flaxseed, Carrots, Broccoli, Vitamins [Vitamin E Supplement, Niacin Supplement, Vitamin A Supplement, Thiamine Mononitrate, d-Calcium Pantothenate, Pyridoxine Hydrochloride, Riboflavin Supplement, Biotin, Vitamin B12 Supplement, Calcium Iodate, Folic Acid, Vitamin D3 Supplement], Dried Kale, Minerals [Zinc Proteinate, Calcium Carbonate, Iron Proteinate, Copper Proteinate, Manganese Proteinate, Sodium Selenite], Dried Aspergillus oryzae Fermentation Product (Source Of Amylase, Lipase and Protease), Choline Chloride, DL-Methionine, Mixed Tocopherols And Citric Acid (Preservatives), Rosemary Extract, Taurine, Dried Goat Milk, Blueberries, Pineapple Stems, Turmeric, New Zealand Green Mussel, Dried Pumpkin, Dried Bacillus Coagulans Fermentation Product","significantly more protein than average; 
significantly fewer carbohydrates than average; 
an average amount of fat; 
significantly more fiber than average; 
significantly less moisture than an equivalent wet food; "
Only Natural Pet Powerfusion Poultry Dinner,https://catfooddb.com/product/only%20natural%20pet/Powerfusion+Poultry+Dinner,"chicken
turkey meal
chicken meal
turkey hearts",new zealand green mussel,,Carbs:,10.00%,"Chicken, Turkey Meal, Chicken Meal, Garbanzo Beans, Chicken Fat (Preserved With Mixed Tocopherols), Pea Protein, Pea Fiber, Tapioca Starch, Natural Flavor, Salmon Oil (Preserved With Mixed Tocopherols), Turkey Hearts, Dried Sweet Potatoes, Dried Chicory Root, Flaxseed, Carrots, Broccoli, Vitamins [Vitamin E Supplement, Niacin Supplement, Vitamin A Supplement, Thiamine Mononitrate, d-Calcium Pantothenate, Pyridoxine Hydrochloride, Riboflavin Supplement, Biotin, Vitamin B12 Supplement, Calcium Iodate, Folic Acid, Vitamin D3 Supplement], Dried Kale, Minerals [Zinc Proteinate, Calcium Carbonate, Iron Proteinate, Copper Proteinate, Manganese Proteinate, Sodium Selenite], Dried Aspergillus oryzae Fermentation Product (Source Of Amylase, Lipase and Protease), Choline Chloride, DL-Methionine, Mixed Tocopherols And Citric Acid (Preservatives), Rosemary Extract, Taurine, Dried Goat Milk, Blueberries, Pineapple Stems, Turmeric, New Zealand Green Mussel, Dried Pumpkin, Dried Bacillus Coagulans Fermentation Product","significantly more protein than average; 
significantly fewer carbohydrates than average; 
an average amount of fat; 
significantly more fiber than average; 
significantly less moisture than an equivalent wet food; "
Only Natural Pet Powerfusion Poultry Dinner,https://catfooddb.com/product/only%20natural%20pet/Powerfusion+Poultry+Dinner,"chicken
turkey meal
chicken meal
turkey hearts",new zealand green mussel,,Ash:,6.00%,"Chicken, Turkey Meal, Chicken Meal, Garbanzo Beans, Chicken Fat (Preserved With Mixed Tocopherols), Pea Protein, Pea Fiber, Tapioca Starch, Natural Flavor, Salmon Oil (Preserved With Mixed Tocopherols), Turkey Hearts, Dried Sweet Potatoes, Dried Chicory Root, Flaxseed, Carrots, Broccoli, Vitamins [Vitamin E Supplement, Niacin Supplement, Vitamin A Supplement, Thiamine Mononitrate, d-Calcium Pantothenate, Pyridoxine Hydrochloride, Riboflavin Supplement, Biotin, Vitamin B12 Supplement, Calcium Iodate, Folic Acid, Vitamin D3 Supplement], Dried Kale, Minerals [Zinc Proteinate, Calcium Carbonate, Iron Proteinate, Copper Proteinate, Manganese Proteinate, Sodium Selenite], Dried Aspergillus oryzae Fermentation Product (Source Of Amylase, Lipase and Protease), Choline Chloride, DL-Methionine, Mixed Tocopherols And Citric Acid (Preservatives), Rosemary Extract, Taurine, Dried Goat Milk, Blueberries, Pineapple Stems, Turmeric, New Zealand Green Mussel, Dried Pumpkin, Dried Bacillus Coagulans Fermentation Product","significantly more protein than average; 
significantly fewer carbohydrates than average; 
an average amount of fat; 
significantly more fiber than average; 
significantly less moisture than an equivalent wet food; "
Only Natural Pet Powerfusion Poultry Dinner,https://catfooddb.com/product/only%20natural%20pet/Powerfusion+Poultry+Dinner,"chicken
turkey meal
chicken meal
turkey hearts",new zealand green mussel,,Moisture:,10.00%,"Chicken, Turkey Meal, Chicken Meal, Garbanzo Beans, Chicken Fat (Preserved With Mixed Tocopherols), Pea Protein, Pea Fiber, Tapioca Starch, Natural Flavor, Salmon Oil (Preserved With Mixed Tocopherols), Turkey Hearts, Dried Sweet Potatoes, Dried Chicory Root, Flaxseed, Carrots, Broccoli, Vitamins [Vitamin E Supplement, Niacin Supplement, Vitamin A Supplement, Thiamine Mononitrate, d-Calcium Pantothenate, Pyridoxine Hydrochloride, Riboflavin Supplement, Biotin, Vitamin B12 Supplement, Calcium Iodate, Folic Acid, Vitamin D3 Supplement], Dried Kale, Minerals [Zinc Proteinate, Calcium Carbonate, Iron Proteinate, Copper Proteinate, Manganese Proteinate, Sodium Selenite], Dried Aspergillus oryzae Fermentation Product (Source Of Amylase, Lipase and Protease), Choline Chloride, DL-Methionine, Mixed Tocopherols And Citric Acid (Preservatives), Rosemary Extract, Taurine, Dried Goat Milk, Blueberries, Pineapple Stems, Turmeric, New Zealand Green Mussel, Dried Pumpkin, Dried Bacillus Coagulans Fermentation Product","significantly more protein than average; 
significantly fewer carbohydrates than average; 
an average amount of fat; 
significantly more fiber than average; 
significantly less moisture than an equivalent wet food; "
Instinct Ultimate Protein Cage-Free Duck Recipe (Dry),https://catfooddb.com/chewy/best-dry-cat-food/instinct-by-natures-variety-ultimate%252Fdp%252F113463,"duck
chicken",dried whey protein concentrate,None,Protein:,47.00%,"Duck, Chicken, Egg Product, Tapioca, Ground Flaxseed, Canola Oil (preserved with Mixed Tocopherols and Citric Acid), Natural Flavor, Dried Tomato Pomace, Dried Whey Protein Concentrate, Dicalcium Phosphate, Potassium Chloride, Salt, Vitamins (Vitamin E Supplement, Niacin Supplement, L-Ascorbyl-2-Polyphosphate, Thiamine Mononitrate, d-Calcium Pantothenate, Vitamin A Supplement, Riboflavin Supplement, Pyridoxine Hydrochloride, Vitamin B12 Supplement, Folic Acid, Vitamin D3 Supplement, Biotin), Minerals (Zinc Proteinate, Iron Proteinate, Copper Proteinate, Manganese Proteinate, Sodium Selenite, Ethylenediamine Dihydriodide), Montmorillonite Clay, Choline Chloride, Taurine, Freeze Dried Duck (including Freeze Dried Ground Duck Bone), Pumpkinseeds, Dried Bacillus coagulans Fermentation Product, Rosemary Extract.","significantly more protein than average; 
an average amount of carbohydrates; 
an average amount of fat; 
significantly less fiber than average; 
significantly less moisture than an equivalent wet food; "
